sourceId,sku,name,qtyBox,qtyPcs,srcLoc,destLoc,trip,expDate,ean
A22B1445-0,XYZ0002,報表-會計部,0,35,,,6/23-2,2028/10/17                    ,
B03B0682-0,BK9070,LOTTE 黑巧克力派(6顆裝),0,960,,,6/23-2,2027/04/08                    ,
B03B0922-0,XYZ9001,西式信封-(大)4K,0,7,,,6/23-2,2028/10/17                    ,
C11B0204-0,XYZ0004,報表-行銷部,0,3,,,6/23-2,2026/02/03                    ,
C11B0267-0,DK9088,LOTTE蜜桃糖153g,0,1200,,,6/23-2,2027/03/05                    ,
T06A0135-0,BK9070,LOTTE 黑巧克力派(6顆裝),0,960,,,6/23-2,2027/04/08                    ,
T06A0153-0,BK0050,LOTTE 蛋黃派－香甜草莓風味(10顆裝),0,336,,,6/23-2,2026/12/01                    ,
T06A0154-0,BK0050,LOTTE 蛋黃派－香甜草莓風味(10顆裝),0,336,,,6/23-2,2026/12/01                    ,
T06A0173-0,BK0050,LOTTE 蛋黃派－香甜草莓風味(10顆裝),0,336,,,6/23-2,2026/12/01                    ,
T06A0193-0,BK0050,LOTTE 蛋黃派－香甜草莓風味(10顆裝),0,336,,,6/23-2,2026/12/01                    ,
T06A0194-0,BK0050,LOTTE 蛋黃派－香甜草莓風味(10顆裝),0,336,,,6/23-2,2026/12/01                    ,
T06A0195-0,BK9070,LOTTE 黑巧克力派(6顆裝),0,960,,,6/23-2,2027/04/08                    ,
T06A0215-0,BK9070,LOTTE 黑巧克力派(6顆裝),0,960,,,6/23-2,2027/04/08                    ,
T06A0252-0,BK0050,LOTTE 蛋黃派－香甜草莓風味(10顆裝),0,336,,,6/23-2,2026/12/01                    ,
T06A0295-0,BK9070,LOTTE 黑巧克力派(6顆裝),0,960,,,6/23-2,2027/04/08                    ,
T06B0343-0,BK0050,LOTTE 蛋黃派－香甜草莓風味(10顆裝),0,336,,,6/23-2,2026/12/01                    ,
T06B0462-0,BK0050,LOTTE 蛋黃派－香甜草莓風味(10顆裝),0,336,,,6/23-2,2026/12/01                    ,
T07A0013-0,BK0050,LOTTE 蛋黃派－香甜草莓風味(10顆裝),0,336,,,6/23-2,2026/12/01                    ,
T07A0073-0,BK0050,LOTTE 蛋黃派－香甜草莓風味(10顆裝),0,336,,,6/23-2,2026/12/01                    ,
T08A0012-0,XYZ0003,報表-管理部,0,10,,,6/23-2,2030/09/11                    ,
T08B0083-0,XYZ9003,西式信封-(小)新12K,0,1020,,,6/23-2,2034/02/27                    ,
A17A0373-0,XYZ0001,報表-業務部,0,21,,,6/23-3,2031/04/08                    ,
A17A0653-0,XYZ0002,報表-會計部,0,41,,,6/23-3,2023/01/06                    ,
A17B0946-0,XYZ0002,報表-會計部,0,15,,,6/23-3,2028/10/17                    ,
A22A1315-0,XYZ0002,報表-會計部,0,35,,,6/23-3,2028/10/17                    ,
A22B1427-0,XYZ0002,報表-會計部,0,30,,,6/23-3,2028/10/17                    ,
A22B1505-0,XYZ0002,報表-會計部,0,35,,,6/23-3,2028/10/17                    ,
A22B1545-0,XYZ0002,報表-會計部,0,35,,,6/23-3,2028/10/17                    ,
B03B0621-0,WW1018,墊箱-樂天公版墊箱(白),0,105,,,6/23-3,2036/05/07                    ,
B03B0641-0,WW1018-1,墊箱內襯-樂天公版墊箱內襯(2片一組),0,51,,,6/23-3,2029/12/31                    ,
C07A0015-0,XYZ0002,報表-會計部,0,17,,,6/23-3,2030/12/09                    ,
C07A0036-0,WW1066,陳列盒-Pepero壓克力陳列盒(2023),0,50,,,6/23-3,2033/12/25                    ,
C07A0195-0,XYZ0001,報表-業務部,0,32,,,6/23-3,2030/10/12                    ,
C07A0214-0,XYZ0001,報表-業務部,0,35,,,6/23-3,2028/10/17                    ,
C07A0234-0,XYZ0001,報表-業務部,0,35,,,6/23-3,2028/10/17                    ,
T06A0072-0,XYZ0001,報表-業務部,0,26,,,6/23-3,2024/09/19                    ,
T07A0051-0,XYZ0001,報表-業務部,0,26,,,6/23-3,2025/04/09                    ,
T07A0151-0,XYZ0002,報表-會計部,0,9,,,6/23-3,2026/01/28                    ,
T07A0475-0,WW1018,墊箱-樂天公版墊箱(白),0,160,,,6/23-3,2036/05/07                    ,
T07A0575-0,WW1018,墊箱-樂天公版墊箱(白),0,160,,,6/23-3,2036/05/07                    ,
T08B0482-0,XYZ0001,報表-業務部,0,9,,,6/23-3,2024/09/24                    ,
