orderId,sourceId,sku,name,qtyBox,qtyPcs,destLoc,trip,plant,expDate,ean
lotte20260626-2019,,GW0173,樂天小熊餅置物籃組,60,60,,6/26-2,A37,2026/09/07,4712834457344
lotte20260626-2020,,GW0173,樂天小熊餅置物籃組,60,60,,6/26-2,A37,2026/09/07,4712834457344
lotte20260626-2021,,GW0173,樂天小熊餅置物籃組,60,60,,6/26-2,A37,2026/09/07,4712834457344
lotte20260626-2022,,GW0173,樂天小熊餅置物籃組,60,60,,6/26-2,A37,2026/09/07,4712834457344
lotte20260626-2023,,GW0173,樂天小熊餅置物籃組,60,60,,6/26-2,A37,2026/09/07,4712834457344
lotte20260626-2024,,XBK0004,OPP袋-Pepero 10入 L34mxW34.5cm,18,93351,,6/26-2,A37,2036/05/11,
lotte20260626-2025,,XBK9215-2,OPP袋- LOTTE巧克力派-4盒裝 for 7E,1,3895,,6/26-2,A37,2036/01/20,
lotte20260626-2026,,XGW0017-1,OPP袋-LOTTE XYLITOL綜合分享包(綠色),0,5765,,6/26-2,A37,2035/12/16,4712834455166
lotte20260626-2027,,XGW0058-1,OPP袋-LOTTE XYLITOL口香糖綜合分享包(全聯版)藍色,2,16000,,6/26-2,A37,2036/06/16,
lotte20260626-2028,,XGW0058-1,OPP袋-LOTTE XYLITOL口香糖綜合分享包(全聯版)藍色,4,38396,,6/26-2,A37,2036/03/19,
lotte20260626-2029,,XGW0060-2,外箱-樂天小熊餅超值美味組合,5,80,,6/26-2,A37,2035/08/22,14712834455187
lotte20260626-2030,,XGW0060-2,外箱-樂天小熊餅超值美味組合,14,220,,6/26-2,A37,2035/08/22,14712834455187
lotte20260626-2031,,XGW0060-2,外箱-樂天小熊餅超值美味組合,18,270,,6/26-2,A37,2035/08/22,14712834455187
lotte20260626-2032,,XSW9184-2,OPP袋- 贈品-樂天小熊12入蠟筆組12X16,0,5208,,6/26-2,A37,2035/10/14,
lotte20260626-2033,,XYW0030,OPP袋-小熊4入共用 31*30cm,0,3212,,6/26-2,A37,2036/04/02,
lotte20260626-2034,,XYW0030,OPP袋-小熊4入共用 31*30cm,5,19288,,6/26-2,A37,2036/04/02,
lotte20260626-2035,,XYW0031,OPP袋-小熊5入共用 36*30cm,2,830,,6/26-2,A37,2033/11/24,
lotte20260626-2036,,XYW0032,OPP袋-PEPERO 5入共用(for 7E),0,1602,,6/26-2,A37,2036/01/07,
lotte20260626-3001,,BJ9296,樂天小熊餅-粉紅草莓風味,4,352,,6/26-3,A40,2026/09/30,64903333133064
lotte20260626-3002,,BJ9296,樂天小熊餅-粉紅草莓風味,6,528,,6/26-3,A40,2026/09/30,64903333133064
lotte20260626-3003,,BJ9354,樂天千層派盒裝-濃厚巧克力風味,6,360,,6/26-3,A37,2026/11/30,24903333272857
lotte20260626-3004,,BJ9389,樂天小熊餅派對包—巧克力風味,22,308,,6/26-3,A37,2026/10/31,14903333208781
lotte20260626-3005,,BJ9400,LOTTE 千層派分享包—巧克力風味,13,234,,6/26-3,A37,2026/10/31,24903333284447
lotte20260626-3006,,BJ9400,LOTTE 千層派分享包—巧克力風味,18,324,,6/26-3,A37,2026/10/31,24903333284447
