# Generated: 2026-06-19 13:10:22
# Total rows: 187
# Data source: ALLY_LOTTE_QR_PRINTER_v8.3.html embedded PALLET_DATA
# Issues found:
# - Row 177 (Board 177): SKU 'DK9075' missing from ITEM_MASTER - requires user verification
# Note: destLocation may be "TBD" pending binding table from user

sourceId,sku,品名,箱數,件數,國際條碼,上架儲位,來源儲位,效期,趟次,棧板號,入庫單號
LOTTE-20260622-622_1-110,BT0065,樂天小熊餅－家庭號巧克力風味195g,48,480,5 885 2008 30026 5,BI012,B03B0405-0,2027/07/01,Regular-1,118,20260622-118
LOTTE-20260622-622_1-112,BT0066,樂天小熊餅－家庭號草莓風味195g,48,480,5 885 2008 30029 6,BI012,B03B0522-0,2027/07/08,Regular-1,119,20260622-119
LOTTE-20260622-622_1-114,BT0066,樂天小熊餅－家庭號草莓風味195g,48,480,5 885 2008 30029 6,BI012,B03B0543-0,2027/07/08,Regular-1,120,20260622-120
LOTTE-20260622-622_1-115,BT0066,樂天小熊餅－家庭號草莓風味195g,48,480,5 885 2008 30029 6,BI012,B03B0544-0,2027/07/08,Regular-1,121,20260622-121
LOTTE-20260622-622_1-117,BT0065,樂天小熊餅－家庭號巧克力風味195g,48,480,5 885 2008 30026 5,BI012,B03B0644-0,2027/06/12,Regular-1,122,20260622-122
LOTTE-20260622-622_3-093,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),60,960,08935341300736,BI012,B03A0695-0,2027/04/14,Regular-1,123,20260622-123
LOTTE-20260622-622_3-094,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),60,960,08935341300736,BI012,B03A0712-0,2027/04/14,Regular-1,124,20260622-124
LOTTE-20260622-622_3-095,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),60,960,08935341300736,BI012,B03A0713-0,2027/04/14,Regular-1,125,20260622-125
LOTTE-20260622-622_3-096,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),60,960,08935341300736,BI012,B03A0715-0,2027/04/14,Regular-1,126,20260622-126
LOTTE-20260622-622_3-097,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),60,960,08935341300736,BI012,B03A0732-0,2027/04/14,Regular-1,127,20260622-127
