廠商統編,廠商聯絡人,電話,日期,時段,採購單號,來源單號,主檔備註,品號,品名,數量,製造日期,有效期,批號,商品條碼,群品,明細備註,入倉單號,虛擬倉,庫存等級,版本號,原因代碼
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-114,,BT0066,樂天小熊餅－家庭號草莓風味195g,480,,2027/07/08,,,良品,儲B03B0543-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-115,,BT0066,樂天小熊餅－家庭號草莓風味195g,480,,2027/07/08,,,良品,儲B03B0544-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-3-116,,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),960,,2027/04/14,,,良品,儲B03B0602-0|棧塑膠寬|6/22-3,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-1-117,,BT0065,樂天小熊餅－家庭號巧克力風味195g,480,,2027/06/12,,,良品,儲B03B0644-0|棧塑膠寬|6/22-1,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-118,,BV0005,LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝),480,,2027/04/21,,,良品,儲C07A0034-0|棧一般木頭|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-3-119,,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),320,,2027/04/22,,,良品,儲C11B0184-0|棧一般木頭|6/22-3,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-120,,BV0005,LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝),960,,2027/04/21,,,良品,儲T06A0055-0|棧一般木頭|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-121,,BV0005,LOTTE巧克力布雪蛋糕－經典起司口味(6顆裝),960,,2027/04/21,,,良品,儲T06A0075-0|棧一般木頭|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-3-122,,BV0007,LOTTE巧克力布雪蛋糕(6顆裝),960,,2027/04/22,,,良品,儲T06A0452-0|棧一般木頭|6/22-3,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-123,,BV0008,LOTTE巧克力布雪蛋糕(12顆裝),480,,2027/03/30,,,良品,儲T06B0383-0|棧一般木頭|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-124,,BV0008,LOTTE巧克力布雪蛋糕(12顆裝),480,,2027/03/30,,,良品,儲T06B0444-0|棧一般木頭|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-125,,BV0008,LOTTE巧克力布雪蛋糕(12顆裝),480,,2027/03/30,,,良品,儲T06B0445-0|棧一般木頭|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-126,,BV0008,LOTTE巧克力布雪蛋糕(12顆裝),480,,2027/03/30,,,良品,儲T06B0464-0|棧一般木頭|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-127,,BV0008,LOTTE巧克力布雪蛋糕(12顆裝),480,,2027/03/30,,,良品,儲T06B0522-0|棧一般木頭|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-128,,BV0008,LOTTE巧克力布雪蛋糕(12顆裝),480,,2027/03/30,,,良品,儲T06B0525-0|棧一般木頭|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-129,,BV0008,LOTTE巧克力布雪蛋糕(12顆裝),480,,2027/03/30,,,良品,儲T06B0545-0|棧一般木頭|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-130,,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),400,,2027/04/01,,,良品,儲T06B0564-0|棧一般木頭|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-131,,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),480,,2027/04/01,,,良品,儲T06B0565-0|棧一般木頭|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-132,,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),480,,2027/04/01,,,良品,儲T06B0585-0|棧一般木頭|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-133,,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),480,,2027/04/01,,,良品,儲T06B0602-0|棧一般木頭|6/22-2,,A37,,,
27712880,樂天,,2026/06/18,,,LOTTE-20260618-6-22-2-134,,BV0006,LOTTE巧克力布雪蛋糕－經典起司口味(12顆裝),480,,2027/04/01,,,良品,儲T06B0603-0|棧一般木頭|6/22-2,,A37,,,
